hex_code,occurence,R,G,B,percent,Movement
#CDBAAB,4806442,205,186,171,67.91,Abstract-Art
#C3BCAC,2866694,195,188,172,83.78,Abstract-Art
#614844,2735188,97,72,68,59.24,Abstract-Art
#131311,2627844,38,38,34,54.660000000000004,Abstract-Art
#484536,2003557,72,69,54,32.83,Abstract-Art
#E3D5C8,1936387,227,213,200,62.41,Abstract-Art
#302426,1860595,48,36,38,26.29,Abstract-Art
#D4DBE1,1655815,212,219,225,88.45,Abstract-Art
#2A2A2A,1504570,126,126,126,88.47,Abstract-Art
#B74B27,1302116,183,75,39,21.34,Abstract-Art
