hex_code,occurence,R,G,B,percent,Movement,percent_total
#6F868E,5114994,111,134,142,68.68,Art-Informel,27.84
#A43643,2145171,164,54,67,28.8,Art-Informel,11.68
#06050A,1904667,6,5,10,93.51,Art-Informel,10.37
#CBC9D6,1762765,203,201,214,97.09,Art-Informel,9.6
#D4C7B7,1622051,212,199,183,91.04,Art-Informel,8.83
#252527,1507689,37,37,39,88.01,Art-Informel,8.21
#EFE8D6,1282712,239,232,214,81.84,Art-Informel,6.98
#5A4300,1147752,90,67,0,69.12,Art-Informel,6.25
#8F6C2C,947687,143,108,44,79.35,Art-Informel,5.16
#EDF6F3,935807,237,246,243,50.55,Art-Informel,5.09
