hex_code,occurence,R,G,B,percent,Movement,percent_total
#C20000,6482994,194,0,0,92.72,Color-Field-Painting,24.19
#2F2A31,4641402,47,42,49,48.91,Color-Field-Painting,17.32
#E4AB14,2226253,228,171,20,94.92,Color-Field-Painting,8.31
#47170D,2120487,71,23,13,22.34,Color-Field-Painting,7.91
#43396B,2115527,67,57,107,83.03,Color-Field-Painting,7.9
#48AAC3,2086355,72,170,195,89.79,Color-Field-Painting,7.79
#DF283C,2014264,223,40,60,56.06,Color-Field-Painting,7.52
#71453C,1845941,113,69,60,95.22,Color-Field-Painting,6.89
#456CA3,1675549,69,108,163,67.23,Color-Field-Painting,6.25
#C6280B,1586442,198,40,11,41.62,Color-Field-Painting,5.92
