hex_code,occurence,R,G,B,percent,Movement
#624E2D,821631,98,78,45,61.43,Early-Renaissance
#B6A379,395725,182,163,121,29.59,Early-Renaissance
#A25624,91718,162,86,36,6.86,Early-Renaissance
#8096AB,26839,128,150,171,2.01,Early-Renaissance
#E1AA4D,1267,225,170,77,0.09,Early-Renaissance
#F2F3E1,178,242,243,225,0.01,Early-Renaissance
#1E0D03,103,30,13,3,0.01,Early-Renaissance
#060604,232091,6,6,4,44.69,Early-Renaissance
#D6DFE4,80358,214,223,228,15.47,Early-Renaissance
#6E968E,68425,110,150,142,13.18,Early-Renaissance
#5D5C2E,58966,93,92,46,11.35,Early-Renaissance
#C8B185,58816,200,177,133,11.32,Early-Renaissance
#550F17,16027,85,15,23,3.09,Early-Renaissance
#AD7031,4666,173,112,49,0.9,Early-Renaissance
#18211E,200200,24,33,30,41.77,Early-Renaissance
#BE3E33,158555,190,62,51,33.08,Early-Renaissance
#65332C,46221,101,51,44,9.64,Early-Renaissance
#FFEDD5,45694,255,237,213,9.53,Early-Renaissance
#D68B61,25481,214,139,97,5.32,Early-Renaissance
#676941,3117,103,105,65,0.65,Early-Renaissance
#1C1E1B,1154370,28,30,27,59.5,Early-Renaissance
#692D23,399443,105,45,35,20.59,Early-Renaissance
#A96F2F,183005,169,111,47,9.43,Early-Renaissance
#D5D3AC,159690,213,211,172,8.23,Early-Renaissance
#6C7564,43532,108,117,100,2.24,Early-Renaissance
#CBB9AF,301465,203,185,175,46.6,Early-Renaissance
#0E0000,168395,14,0,0,26.03,Early-Renaissance
#7A635B,159197,122,99,91,24.61,Early-Renaissance
#B75645,10832,183,86,69,1.67,Early-Renaissance
#4D4672,6491,77,70,114,1.0,Early-Renaissance
#561C18,503,86,28,24,0.08,Early-Renaissance
#0B060C,194079,11,6,12,52.02,Early-Renaissance
#DCBE98,135174,220,190,152,36.23,Early-Renaissance
#7B472F,40964,123,71,47,10.98,Early-Renaissance
#E23433,2390,226,52,51,0.64,Early-Renaissance
#AD7626,460,173,118,38,0.12,Early-Renaissance
#FF9886,29,255,152,134,0.01,Early-Renaissance
#000000,582096,0,0,0,38.33,Early-Renaissance
#B6AA94,506140,182,170,148,33.33,Early-Renaissance
#424937,380940,66,73,55,25.09,Early-Renaissance
#872D2D,27038,135,45,45,1.78,Early-Renaissance
#7189A5,21575,113,137,165,1.42,Early-Renaissance
#C48053,736,196,128,83,0.05,Early-Renaissance
#263B5A,59,38,59,90,0.0,Early-Renaissance
#FEEEA0,6,254,238,160,0.0,Early-Renaissance
#D0D2D1,129977,208,210,209,64.2,Early-Renaissance
#574440,72298,87,68,64,35.71,Early-Renaissance
#A68F63,176,166,143,99,0.09,Early-Renaissance
#11031C,6,17,3,28,0.0,Early-Renaissance
#3A7561,3,58,117,97,0.0,Early-Renaissance
#BD9B6B,632926,189,155,107,64.87,Early-Renaissance
#272121,280786,39,33,33,28.78,Early-Renaissance
#C86840,29699,200,104,64,3.04,Early-Renaissance
#FAFAF2,20306,250,250,242,2.08,Early-Renaissance
#A5B3D0,9893,165,179,208,1.01,Early-Renaissance
#73462F,2075,115,70,47,0.21,Early-Renaissance
#46647C,10,70,100,124,0.0,Early-Renaissance
#FEF4AD,3,254,244,173,0.0,Early-Renaissance
#0D0D0D,448840,13,13,13,39.37,Early-Renaissance
#653E21,432016,101,62,33,37.9,Early-Renaissance
#908488,200776,144,132,136,17.61,Early-Renaissance
#BE6A2E,39060,190,106,46,3.43,Early-Renaissance
#F0E3ED,17742,240,227,237,1.56,Early-Renaissance
#DCB08B,1214,220,176,139,0.11,Early-Renaissance
#FABC59,150,250,188,89,0.01,Early-Renaissance
#D83128,111,216,49,40,0.01,Early-Renaissance
#3E4464,56,62,68,100,0.0,Early-Renaissance
#E4CFA2,490500,228,207,162,58.01,Early-Renaissance
#8D806D,155983,141,128,109,18.45,Early-Renaissance
#6C3425,150857,108,52,37,17.84,Early-Renaissance
#1A2632,35511,26,38,50,4.2,Early-Renaissance
#C67A2F,12724,198,122,47,1.5,Early-Renaissance
#6E789B,17,110,120,155,0.0,Early-Renaissance
#181D17,2715316,24,29,23,41.63,Early-Renaissance
#560E00,2061707,86,14,0,31.61,Early-Renaissance
#EDD8BD,834046,237,216,189,12.79,Early-Renaissance
#935E34,446419,147,94,52,6.84,Early-Renaissance
#A93315,301840,169,51,21,4.63,Early-Renaissance
#899B9B,163083,137,155,155,2.5,Early-Renaissance
#040404,502126,4,4,4,77.81,Early-Renaissance
#A78A6A,109245,167,138,106,16.93,Early-Renaissance
#440F0B,25473,68,15,11,3.95,Early-Renaissance
#8F4A11,8494,143,74,17,1.32,Early-Renaissance
#B6902F,6,182,144,47,0.0,Early-Renaissance
#564E37,785595,86,78,55,56.05,Early-Renaissance
#000100,442942,0,1,0,31.6,Early-Renaissance
#B29C77,159980,178,156,119,11.41,Early-Renaissance
#B55836,12554,181,88,54,0.9,Early-Renaissance
#431000,528,67,16,0,0.04,Early-Renaissance
#492613,205044,73,38,19,34.38,Early-Renaissance
#0A101C,203244,10,16,28,34.08,Early-Renaissance
#B17B35,174078,177,123,53,29.19,Early-Renaissance
#FCF3B0,8352,252,243,176,1.4,Early-Renaissance
#6B6B53,2874,107,107,83,0.48,Early-Renaissance
#8B2B12,2586,139,43,18,0.43,Early-Renaissance
#FFFBFF,200,255,251,255,0.03,Early-Renaissance
#F8C655,14,248,198,85,0.0,Early-Renaissance
#000000,1834198,0,0,0,40.24,Early-Renaissance
#BA9986,901544,186,153,134,19.78,Early-Renaissance
#D2C2E6,759420,210,194,230,16.66,Early-Renaissance
#4A4B67,593880,74,75,103,13.03,Early-Renaissance
#533922,430378,83,57,34,9.44,Early-Renaissance
#E7BD6B,31577,231,189,107,0.69,Early-Renaissance
#946724,6494,148,103,36,0.14,Early-Renaissance
#742004,116,116,32,4,0.0,Early-Renaissance
#0A070E,375183,10,7,14,32.46,Early-Renaissance
#5D342E,336860,93,52,46,29.14,Early-Renaissance
#FFFFFF,302110,255,255,255,26.13,Early-Renaissance
#E4AC7B,117880,228,172,123,10.2,Early-Renaissance
#AA2E2C,22265,170,46,44,1.93,Early-Renaissance
#838079,1591,131,128,121,0.14,Early-Renaissance
#8D561E,87,141,86,30,0.01,Early-Renaissance
#D27C85,9,210,124,133,0.0,Early-Renaissance
#E5EB91,6,229,235,145,0.0,Early-Renaissance
#D1987B,285039,209,152,123,36.25,Early-Renaissance
#E4E5E9,262444,228,229,233,33.38,Early-Renaissance
#778272,143257,119,130,114,18.22,Early-Renaissance
#080806,59270,8,8,6,7.54,Early-Renaissance
#58381F,36306,88,56,31,4.62,Early-Renaissance
#1E1D22,5775461,30,29,34,89.53,Early-Renaissance
#71403C,273469,113,64,60,4.24,Early-Renaissance
#C23B25,199869,194,59,37,3.1,Early-Renaissance
#C7C791,186774,199,199,145,2.9,Early-Renaissance
#808275,8419,128,130,117,0.13,Early-Renaissance
#B48051,6412,180,128,81,0.1,Early-Renaissance
#C5DBE6,729,197,219,230,0.01,Early-Renaissance
