hex_code,occurence,R,G,B,percent,Movement
#040000,9345997,12,0,0,76.32000000000001,Early-Renaissance
#806B3E,7543684,128,107,62,30.21,Early-Renaissance
#A6ACA8,6469718,166,172,168,61.59,Early-Renaissance
#1E1D22,5775461,30,29,34,89.53,Early-Renaissance
#242424,5479514,36,36,36,56.09,Early-Renaissance
#B5B8BF,5292766,181,184,191,21.2,Early-Renaissance
#C6C1AD,4931428,198,193,173,62.36,Early-Renaissance
#EADDCA,4801841,234,221,202,55.4,Early-Renaissance
#19171A,4320129,25,23,26,46.68,Early-Renaissance
#141613,4034250,20,22,19,43.09,Early-Renaissance
