hex_code,occurence,R,G,B,percent,Movement,percent_total
#584839,10138161,88,72,57,38.62,High-Renaissance,17.36
#161511,8997029,22,21,17,88.8,High-Renaissance,15.4
#110708,6380543,17,7,8,52.49,High-Renaissance,10.92
#4F3639,5525235,79,54,57,60.87,High-Renaissance,9.46
#B6A999,5460275,182,169,153,20.8,High-Renaissance,9.35
#1C0000,5234153,28,0,0,19.94,High-Renaissance,8.96
#2C1D22,4861294,44,29,34,87.57,High-Renaissance,8.32
#780419,4222745,120,4,25,31.89,High-Renaissance,7.23
#050E0B,4141524,5,14,11,49.29,High-Renaissance,7.09
#0F0B00,3449909,15,11,0,61.36,High-Renaissance,5.91
