hex_code,occurence,R,G,B,percent,Movement
#E0E1E3,215386,224,225,227,71.19,Magic-Realism
#4C526C,41612,76,82,108,13.75,Magic-Realism
#513F35,40248,81,63,53,13.3,Magic-Realism
#858891,4762,133,136,145,1.57,Magic-Realism
#130000,384,19,0,0,0.13,Magic-Realism
#161D3A,164,22,29,58,0.05,Magic-Realism
#898E94,212245,137,142,148,68.49,Magic-Realism
#14110C,35416,20,17,12,11.43,Magic-Realism
#F0ECE9,25233,240,236,233,8.14,Magic-Realism
#DFC063,20020,223,192,99,6.46,Magic-Realism
#4F301B,10564,79,48,27,3.41,Magic-Realism
#9E6629,6003,158,102,41,1.94,Magic-Realism
#AB956C,336,171,149,108,0.11,Magic-Realism
#DA762B,37,218,118,43,0.01,Magic-Realism
#782918,30,120,41,24,0.01,Magic-Realism
#9FC8CA,297942,159,200,202,57.48,Magic-Realism
#457D7A,148054,69,125,122,28.56,Magic-Realism
#B0A48E,37569,176,164,142,7.25,Magic-Realism
#3E4847,22508,62,72,71,4.34,Magic-Realism
#CC7063,4138,204,112,99,0.8,Magic-Realism
#542C24,3232,84,44,36,0.62,Magic-Realism
#6A90B5,2735,106,144,181,0.53,Magic-Realism
#E8DCAA,1117,232,220,170,0.22,Magic-Realism
#0F518B,1014,15,81,139,0.2,Magic-Realism
#40423D,53818,64,66,61,31.02,Magic-Realism
#05060A,49141,5,6,10,28.32,Magic-Realism
#96968A,32003,150,150,138,18.44,Magic-Realism
#3B738E,15435,59,115,142,8.9,Magic-Realism
#050D3E,7639,5,13,62,4.4,Magic-Realism
#06166E,6027,6,22,110,3.47,Magic-Realism
#EBE7CC,3574,235,231,204,2.06,Magic-Realism
#8CC7D9,3099,140,199,217,1.79,Magic-Realism
#051FA7,2782,5,31,167,1.6,Magic-Realism
#445164,144328,68,81,100,66.57,Magic-Realism
#7B6059,28473,123,96,89,13.13,Magic-Realism
#1A1825,26826,26,24,37,12.37,Magic-Realism
#AFA09D,11381,175,160,157,5.25,Magic-Realism
#602D3E,2281,96,45,62,1.05,Magic-Realism
#2B3165,1669,43,49,101,0.77,Magic-Realism
#828EB8,727,130,142,184,0.34,Magic-Realism
#CE5737,590,206,87,55,0.27,Magic-Realism
#FFFBFF,525,255,251,255,0.24,Magic-Realism
#6E8C97,131141,110,140,151,72.76,Magic-Realism
#33456B,24524,51,69,107,13.61,Magic-Realism
#B9E5E6,23878,185,229,230,13.25,Magic-Realism
#0A0E33,707,10,14,51,0.39,Magic-Realism
#A3B1B1,131601,163,177,177,31.53,Magic-Realism
#F7FFFF,99682,247,255,255,23.89,Magic-Realism
#414E47,86950,65,78,71,20.83,Magic-Realism
#000500,30231,0,5,0,7.24,Magic-Realism
#7B8966,28935,123,137,102,6.93,Magic-Realism
#77513C,19908,119,81,60,4.77,Magic-Realism
#D77A3F,8248,215,122,63,1.98,Magic-Realism
#B7D0A6,6437,183,208,166,1.54,Magic-Realism
#B6917E,5337,182,145,126,1.28,Magic-Realism
#8786A8,138228,135,134,168,62.42,Magic-Realism
#0C0B10,56563,12,11,16,25.54,Magic-Realism
#D2D9DF,18781,210,217,223,8.48,Magic-Realism
#424149,7034,66,65,73,3.18,Magic-Realism
#9C9A8E,450,156,154,142,0.2,Magic-Realism
#85220D,297,133,34,13,0.13,Magic-Realism
#3D1122,74,61,17,34,0.03,Magic-Realism
#743B34,19,116,59,52,0.01,Magic-Realism
#130014,504457,19,0,20,64.96,Magic-Realism
#0E003D,65968,14,0,61,8.49,Magic-Realism
