hex_code,occurence,R,G,B,percent,Movement,percent_total
#B8C8BD,4818211,184,200,189,65.69,Magic-Realism,24.51
#5B7292,2841214,91,114,146,39.91,Magic-Realism,14.45
#0A0A0A,2435039,10,10,10,34.21,Magic-Realism,12.39
#917D64,1884309,145,125,100,25.69,Magic-Realism,9.58
#625A33,1519673,98,90,51,32.51,Magic-Realism,7.73
#615956,1210714,97,89,86,17.01,Magic-Realism,6.16
#2D2C2A,1138238,45,44,42,59.26,Magic-Realism,5.79
#AA9675,1119496,170,150,117,58.87,Magic-Realism,5.69
#F4F3C3,1069001,244,243,195,22.87,Magic-Realism,5.44
#F3A366,1024772,243,163,102,71.82,Magic-Realism,5.21
#0A0A0A,598857,10,10,10,29.89,Magic-Realism,3.05
