hex_code,occurence,R,G,B,percent,Movement
#CFD0D2,200255,207,208,210,86.97,Minimalism
#054825,8200,5,72,37,3.56,Minimalism
#DBB898,6723,219,184,152,2.92,Minimalism
#523D1E,5705,82,61,30,2.48,Minimalism
#838B8E,3287,131,139,142,1.43,Minimalism
#9D6031,2949,157,96,49,1.28,Minimalism
#121206,2604,18,18,6,1.13,Minimalism
#4A4F52,426,74,79,82,0.19,Minimalism
#972E28,113,151,46,40,0.05,Minimalism
#A7A6A4,469921,167,166,164,97.91,Minimalism
#E9EAEF,9643,233,234,239,2.01,Minimalism
#5C5C5C,392,92,92,92,0.08,Minimalism
#AA856B,69877,170,133,107,38.74,Minimalism
#D7E0DD,28125,215,224,221,15.59,Minimalism
#D74641,27884,215,70,65,15.46,Minimalism
#757F8B,22241,117,127,139,12.33,Minimalism
#C38647,14796,195,134,71,8.2,Minimalism
#764C1C,7718,118,76,28,4.28,Minimalism
#FFCC4E,4332,255,204,78,2.4,Minimalism
#6E854F,2921,110,133,79,1.62,Minimalism
#E27230,2495,226,114,48,1.38,Minimalism
#B05E74,175199,176,94,116,53.93,Minimalism
#FFFFFF,77956,255,255,255,24.0,Minimalism
#6A665B,36521,106,102,91,11.24,Minimalism
#701E34,20284,112,30,52,6.24,Minimalism
#432928,8734,67,41,40,2.69,Minimalism
#C49CA5,3292,196,156,165,1.01,Minimalism
#A7423A,2039,167,66,58,0.63,Minimalism
#BAAC89,615,186,172,137,0.19,Minimalism
#C23373,212,194,51,115,0.07,Minimalism
#747378,536288,116,115,120,70.72,Minimalism
#D2DDF3,74083,210,221,243,9.77,Minimalism
#AB7D0D,69128,171,125,13,9.12,Minimalism
#6D7706,66061,109,119,6,8.71,Minimalism
#A6A902,7076,166,169,2,0.93,Minimalism
#3A3A46,3053,58,58,70,0.4,Minimalism
#E7A602,1307,231,166,2,0.17,Minimalism
#9E9C76,843,158,156,118,0.11,Minimalism
#1F1000,531,31,16,0,0.07,Minimalism
#837978,150815,131,121,120,81.24,Minimalism
#4A3E3E,16948,74,62,62,9.13,Minimalism
#F2C276,6530,242,194,118,3.52,Minimalism
#8585F3,3264,133,133,243,1.76,Minimalism
#8A7BA6,2154,138,123,166,1.16,Minimalism
#D26E7A,2046,210,110,122,1.1,Minimalism
#BE9D7C,1853,190,157,124,1.0,Minimalism
