hex_code,occurence,R,G,B,percent,Movement,percent_total
#E2E21E,4713090,226,226,30,90.28,Minimalism,19.46
#DEE2E1,3199247,222,226,225,29.71,Minimalism,13.21
#BC939B,2801532,188,147,155,26.02,Minimalism,11.57
#616274,2592342,97,98,116,24.08,Minimalism,10.7
#D3D3CB,2324527,211,211,203,98.99,Minimalism,9.6
#292B2A,1836825,41,43,42,96.05,Minimalism,7.58
#E6E6E4,1835814,230,230,228,94.67,Minimalism,7.58
#ECEEED,1709009,236,238,237,100.0,Minimalism,7.06
#1C101A,1619804,28,16,26,70.11,Minimalism,6.69
#171719,1591814,23,23,25,14.78,Minimalism,6.57
