hex_code,occurence,R,G,B,percent,Movement,percent_total
#000000,6204778,0,0,0,58.77,Neo-Expressionism,25.93
#D9C5BE,2918107,217,197,190,46.68,Neo-Expressionism,12.2
#F3EFEC,2702707,243,239,236,42.56,Neo-Expressionism,11.3
#EBE3E0,2149642,235,227,224,69.1,Neo-Expressionism,8.98
#141414,1897352,20,20,20,78.94,Neo-Expressionism,7.93
#E4E1DA,1722904,228,225,218,49.07,Neo-Expressionism,7.2
#0C0B09,1656189,12,11,9,26.08,Neo-Expressionism,6.92
#DED1BE,1596449,222,209,190,43.42,Neo-Expressionism,6.67
#E05102,1384730,224,81,2,22.15,Neo-Expressionism,5.79
#C8A468,1379964,200,164,104,13.07,Neo-Expressionism,5.77
#000000,113104,0,0,0,24.58,Neo-Expressionism,0.47
#000000,61186,0,0,0,32.7,Neo-Expressionism,0.26
#000000,56907,0,0,0,26.6,Neo-Expressionism,0.24
#000000,36424,0,0,0,23.22,Neo-Expressionism,0.15
#000000,25949,0,0,0,27.72,Neo-Expressionism,0.11
#000000,14449,0,0,0,14.02,Neo-Expressionism,0.06
#000000,7040,0,0,0,4.17,Neo-Expressionism,0.03
