hex_code,occurence,R,G,B,percent,Movement
#0F0E14,672936,15,14,20,71.46,Neoclassicism
#5C5356,268817,92,83,86,28.54,Neoclassicism
#2B241C,375515,43,36,28,65.77,Neoclassicism
#696741,126747,105,103,65,22.2,Neoclassicism
#C0B99C,48956,192,185,156,8.57,Neoclassicism
#7C0E0F,19765,124,14,15,3.46,Neoclassicism
#0A0B10,315255,10,11,16,55.97,Neoclassicism
#C02640,158636,192,38,64,28.16,Neoclassicism
#591B30,53274,89,27,48,9.46,Neoclassicism
#F2E1D9,36118,242,225,217,6.41,Neoclassicism
#23282C,4390094,35,40,44,56.78,Neoclassicism
#A99652,2572099,169,150,82,33.27,Neoclassicism
#EC5657,471228,236,86,87,6.09,Neoclassicism
#894240,298179,137,66,64,3.86,Neoclassicism
#73644D,70817,115,100,77,33.69,Neoclassicism
#020911,50648,2,9,17,24.09,Neoclassicism
#7893C2,45799,120,147,194,21.79,Neoclassicism
#85111E,42942,133,17,30,20.43,Neoclassicism
#3C3E3D,198802,60,62,61,70.24,Neoclassicism
#8E8976,82660,142,137,118,29.2,Neoclassicism
#EFDBB6,1339,239,219,182,0.47,Neoclassicism
#6F5D1B,242,111,93,27,0.09,Neoclassicism
#AB804D,594292,171,128,77,43.32,Neoclassicism
#000007,351062,0,0,7,25.59,Neoclassicism
#EAE4D6,285728,234,228,214,20.83,Neoclassicism
#605C51,140787,96,92,81,10.26,Neoclassicism
#E3C798,691480,227,199,152,66.83,Neoclassicism
#050811,140839,5,8,17,13.61,Neoclassicism
#C9E1ED,113895,201,225,237,11.01,Neoclassicism
#998785,88466,153,135,133,8.55,Neoclassicism
#16263D,420126,22,38,61,46.01,Neoclassicism
#95B0C3,317280,149,176,195,34.75,Neoclassicism
#7B4A2C,150608,123,74,44,16.49,Neoclassicism
#C9A652,25076,201,166,82,2.75,Neoclassicism
#0F0607,590178,15,6,7,46.12,Neoclassicism
#542513,382197,84,37,19,29.87,Neoclassicism
#F3F6EF,158621,243,246,239,12.4,Neoclassicism
#827A77,148601,130,122,119,11.61,Neoclassicism
#1D1C17,2106326,29,28,23,73.67,Neoclassicism
#86817B,626677,134,129,123,21.92,Neoclassicism
#AC8947,95462,172,137,71,3.34,Neoclassicism
#1E6885,30559,30,104,133,1.07,Neoclassicism
#0F0F11,408976,15,15,17,50.32,Neoclassicism
#65371F,225155,101,55,31,27.7,Neoclassicism
#DF803E,141112,223,128,62,17.36,Neoclassicism
#EFC57B,37460,239,197,123,4.61,Neoclassicism
#000000,102195,0,0,0,39.77,Neoclassicism
#D7DCDF,85451,215,220,223,33.25,Neoclassicism
#808581,37362,128,133,129,14.54,Neoclassicism
#4A1B09,31973,74,27,9,12.44,Neoclassicism
