hex_code,occurence,R,G,B,percent,Movement
#5F7157,13376516,95,113,87,40.42,Northern-Renaissance
#4B2B14,11928126,75,43,20,35.98,Northern-Renaissance
#EADFC3,9990499,234,223,195,30.19,Northern-Renaissance
#2C2827,9540466,44,40,39,73.15,Northern-Renaissance
#A2A88E,8773214,162,168,142,24.01,Northern-Renaissance
#888133,8207174,136,129,51,22.47,Northern-Renaissance
#0E1211,7619283,14,18,17,34.75,Northern-Renaissance
#04050A,6971317,4,5,10,21.07,Northern-Renaissance
#43311D,5775663,67,49,29,26.34,Northern-Renaissance
#232323,5708721,70,70,70,76.85,Northern-Renaissance
