hex_code,occurence,R,G,B,percent,percent_total,Movement
#35383D,19767284,53,56,61,63.35,31.799904049869614,Pop-Art
#555150,14285172,85,81,80,88.8,22.980754408945813,Pop-Art
#7E5E47,7353556,126,94,71,23.57,11.829767570767082,Pop-Art
#ACABA9,5289299,172,171,169,45.06,8.508968692465354,Pop-Art
#000000,4239905,0,0,0,218.09,6.820794003898686,Pop-Art
#EAEAEA,2607256,234,234,234,8.36,4.194328903932723,Pop-Art
#FF1E22,2275199,255,30,34,69.81,3.6601442006073923,Pop-Art
#FEFEFE,2215455,1270,1270,1270,60.99,3.564033198835201,Pop-Art
#FFFFFF,2092333,5100,5100,5100,689.78,3.3659651290675967,Pop-Art
#D0D6E4,2035999,208,214,228,86.82,3.275339841610536,Pop-Art
