hex_code,occurence,R,G,B,percent,Movement
#5276A8,6449953,82,118,168,33.01,Post-Impressionism
#000100,5250511,0,4,0,65.65,Post-Impressionism
#989175,4722465,152,145,117,60.32,Post-Impressionism
#A0ADA3,3432302,160,173,163,17.57,Post-Impressionism
#3B572E,2650450,59,87,46,45.02,Post-Impressionism
#354747,2424425,53,71,71,31.4,Post-Impressionism
#F6EE7F,2343678,246,238,127,45.22,Post-Impressionism
#293D78,2335854,41,61,120,11.96,Post-Impressionism
#D1CBA7,2186409,209,203,167,43.44,Post-Impressionism
#D8D7D2,2177996,216,215,210,41.52,Post-Impressionism
