hex_code,occurence,R,G,B,percent,Movement
#6694A1,304300,102,148,161,63.38,Romanticism
#D7CBBF,105533,215,203,191,21.98,Romanticism
#3D5557,57261,61,85,87,11.93,Romanticism
#8D8C78,9003,141,140,120,1.88,Romanticism
#0E1D24,3941,14,29,36,0.82,Romanticism
#976D47,53,151,109,71,0.01,Romanticism
#EBC18F,40,235,193,143,0.01,Romanticism
#1A1F33,149310,26,31,51,37.33,Romanticism
#615138,104242,97,81,56,26.06,Romanticism
#C6B682,72666,198,182,130,18.17,Romanticism
#FFFA9F,46046,255,250,159,11.51,Romanticism
#8B7637,18789,139,118,55,4.7,Romanticism
#BE9E37,6923,190,158,55,1.73,Romanticism
#5C5161,1157,92,81,97,0.29,Romanticism
#995A39,581,153,90,57,0.15,Romanticism
#AAA09E,217,170,160,158,0.05,Romanticism
#070707,168556,7,7,7,69.77,Romanticism
#403A2E,42660,64,58,46,17.66,Romanticism
#8C866C,25223,140,134,108,10.44,Romanticism
#E7E7E5,3606,231,231,229,1.49,Romanticism
#836F26,851,131,111,38,0.35,Romanticism
#C8979A,485,200,151,154,0.2,Romanticism
#5F3C14,101,95,60,20,0.04,Romanticism
#AF9F2E,72,175,159,46,0.03,Romanticism
#342741,40,52,39,65,0.02,Romanticism
#0E171E,904614,14,23,30,61.6,Romanticism
#433326,345271,67,51,38,23.51,Romanticism
#9B9273,172828,155,146,115,11.77,Romanticism
#784528,30075,120,69,40,2.05,Romanticism
#E5C491,12656,229,196,145,0.86,Romanticism
#085255,2006,8,82,85,0.14,Romanticism
#585B30,548,88,91,48,0.04,Romanticism
#A9773A,408,169,119,58,0.03,Romanticism
#530C10,112,83,12,16,0.01,Romanticism
#423E32,168752,66,62,50,48.67,Romanticism
#010101,158556,1,1,1,45.73,Romanticism
#7C785D,19418,124,120,93,5.6,Romanticism
#C5B68F,22,197,182,143,0.01,Romanticism
#F4EFDC,1055613,244,239,220,61.63,Romanticism
#B29170,585554,178,145,112,34.19,Romanticism
#755236,71662,117,82,54,4.18,Romanticism
#22121C,351457,34,18,28,49.01,Romanticism
#FFFFFF,141162,255,255,255,19.68,Romanticism
#5B3F3B,110937,91,63,59,15.47,Romanticism
#8F6444,64570,143,100,68,9.0,Romanticism
#C0A757,20839,192,167,87,2.91,Romanticism
#D2C3A4,13332,210,195,164,1.86,Romanticism
#430000,5947,67,0,0,0.83,Romanticism
#D4D6FC,5627,212,214,252,0.78,Romanticism
#892E1B,3252,137,46,27,0.45,Romanticism
#011107,698402,1,17,7,50.8,Romanticism
#DAAA5E,323391,218,170,94,23.52,Romanticism
#443D2A,225794,68,61,42,16.42,Romanticism
#896334,91182,137,99,52,6.63,Romanticism
#DDC79E,29685,221,199,158,2.16,Romanticism
#67724A,5747,103,114,74,0.42,Romanticism
#693327,279,105,51,39,0.02,Romanticism
#CA643C,265,202,100,60,0.02,Romanticism
#174E48,53,23,78,72,0.0,Romanticism
#142225,1720844,20,34,37,58.92,Romanticism
#524C40,521165,82,76,64,17.84,Romanticism
#967D3A,267785,150,125,58,9.17,Romanticism
#F4E178,141586,244,225,120,4.85,Romanticism
#964436,128891,150,68,54,4.41,Romanticism
#F9F4BD,124508,249,244,189,4.26,Romanticism
#F5F5FF,11736,245,245,255,0.4,Romanticism
#E0B87A,2233,224,184,122,0.08,Romanticism
#557A80,1869,85,122,128,0.06,Romanticism
#201F1D,288632,32,31,29,41.34,Romanticism
#52321D,190096,82,50,29,27.23,Romanticism
#824F16,104647,130,79,22,14.99,Romanticism
#CA8214,81110,202,130,20,11.62,Romanticism
#FF650D,17948,255,101,13,2.57,Romanticism
#7B2518,7214,123,37,24,1.03,Romanticism
#B24617,4879,178,70,23,0.7,Romanticism
#FFBD31,3080,255,189,49,0.44,Romanticism
#FFFF62,519,255,255,98,0.07,Romanticism
#121413,246235,18,20,19,84.72,Romanticism
#4C4437,28485,76,68,55,9.8,Romanticism
#AD8878,11302,173,136,120,3.89,Romanticism
#FFFAFF,2481,255,250,255,0.85,Romanticism
#9D9AAD,796,157,154,173,0.27,Romanticism
#DBCAAC,592,219,202,172,0.2,Romanticism
#4D1508,404,77,21,8,0.14,Romanticism
#88592D,179,136,89,45,0.06,Romanticism
#8E843C,158,142,132,60,0.05,Romanticism
#E6EFEC,236916,230,239,236,63.96,Romanticism
#47292B,76461,71,41,43,20.64,Romanticism
#87603F,17120,135,96,63,4.62,Romanticism
#A39B48,16664,163,155,72,4.5,Romanticism
#AABBD9,10298,170,187,217,2.78,Romanticism
#9B948E,7085,155,148,142,1.91,Romanticism
#5E1F10,4740,94,31,16,1.28,Romanticism
#C9C997,835,201,201,151,0.23,Romanticism
#696073,265,105,96,115,0.07,Romanticism
#171C16,92641,23,28,22,36.46,Romanticism
#73746F,75531,115,116,111,29.73,Romanticism
#805008,50978,128,80,8,20.06,Romanticism
#B7B4AB,12540,183,180,171,4.94,Romanticism
#71221B,9556,113,34,27,3.76,Romanticism
#E0A77C,8665,224,167,124,3.41,Romanticism
#52432C,4013,82,67,44,1.58,Romanticism
#9B6C50,111,155,108,80,0.04,Romanticism
#BE8617,42,190,134,23,0.02,Romanticism
#43281D,1297648,67,40,29,38.72,Romanticism
#D1CFDA,978077,209,207,218,29.18,Romanticism
#7C4B2B,849598,124,75,43,25.35,Romanticism
#BDA94A,86602,189,169,74,2.58,Romanticism
#978B95,60939,151,139,149,1.82,Romanticism
#B96F32,55042,185,111,50,1.64,Romanticism
#AA8C68,22467,170,140,104,0.67,Romanticism
#D8D2A2,905,216,210,162,0.03,Romanticism
#754E61,326,117,78,97,0.01,Romanticism
#22151C,640368,34,21,28,81.24,Romanticism
#565050,95446,86,80,80,12.11,Romanticism
#8C8F88,31606,140,143,136,4.01,Romanticism
#FFFFFD,20483,255,255,253,2.6,Romanticism
#50191C,314,80,25,28,0.04,Romanticism
#C3C19B,17,195,193,155,0.0,Romanticism
#7E6443,4,126,100,67,0.0,Romanticism
#7B634B,177514,123,99,75,49.69,Romanticism
#0E1621,123531,14,22,33,34.58,Romanticism
#C0AC7A,40632,192,172,122,11.37,Romanticism
#482F2B,9443,72,47,43,2.64,Romanticism
#9B5B2F,3795,155,91,47,1.06,Romanticism
#E3DFD6,1971,227,223,214,0.55,Romanticism
#8E9A8E,177,142,154,142,0.05,Romanticism
#782D2A,107,120,45,42,0.03,Romanticism
#575E68,94,87,94,104,0.03,Romanticism
#030909,98466,3,9,9,34.86,Romanticism
#633B00,86039,99,59,0,30.46,Romanticism
#455026,58734,69,80,38,20.8,Romanticism
#A8732F,22154,168,115,47,7.84,Romanticism
#351E00,6960,53,30,0,2.46,Romanticism
#DFCD8F,6261,223,205,143,2.22,Romanticism
#490000,1438,73,0,0,0.51,Romanticism
#8B8A52,1355,139,138,82,0.48,Romanticism
#7D2301,1033,125,35,1,0.37,Romanticism
#020106,1139517,2,1,6,56.7,Romanticism
#E7D8BB,353192,231,216,187,17.58,Romanticism
#4A4027,269992,74,64,39,13.44,Romanticism
#97917B,114744,151,145,123,5.71,Romanticism
#350E09,98848,53,14,9,4.92,Romanticism
#601206,26945,96,18,6,1.34,Romanticism
#9C563D,6032,156,86,61,0.3,Romanticism
#DBA284,262,219,162,132,0.01,Romanticism
#A22C12,38,162,44,18,0.0,Romanticism
#252525,331743,37,37,37,91.7,Romanticism
#847151,14121,132,113,81,3.9,Romanticism
#BC7D47,6371,188,125,71,1.76,Romanticism
#5C3031,5399,92,48,49,1.49,Romanticism
